maps,Nama Cabang,Ratinng,Banyak Ulasan,Alamat,LATITUDE,LONGITUDE
https://www.google.com/maps/place/Burger+King+-+Jemursari/data=!4m7!3m6!1s0x2dd7fb6716d5c333:0x9c8e6a63272d43de!8m2!3d-7.3131707!4d112.7567203!16s%2Fg%2F11hctg0r02!19sChIJM8PVFmf71y0R3kMtJ2Nqjpw?authuser=0&hl=en&rclk=1,Burger King - Jemursari,4.5,"-10,024",Jl. Raya Jemursari No.260,-7.3131707,112.7567203
https://www.google.com/maps/place/Burger+King+-+Waru+Sidoarjo/data=!4m7!3m6!1s0x2dd7e54911b943f1:0xb93a1666f8c024d2!8m2!3d-7.3699307!4d112.728483!16s%2Fg%2F11h7fltl5x!19sChIJ8UO5EUnl1y0R0iTA-GYWOrk?authuser=0&hl=en&rclk=1,Burger King - Waru Sidoarjo,4.5,"-5,356",Jl. Raya Waru No.1,-7.3699307,112.728483
https://www.google.com/maps/place/Burger+King+-+Basuki+Rahmat/data=!4m7!3m6!1s0x2dd7f9f3c95604fd:0x8e12334dde05eaeb!8m2!3d-7.2647301!4d112.7423782!16s%2Fg%2F11fswbs__b!19sChIJ_QRWyfP51y0R6-oF3k0zEo4?authuser=0&hl=en&rclk=1,Burger King - Basuki Rahmat,4.7,"-3,803","Pert Darmo Park I Bl 4-B/3, 60256",-7.2647301,112.7423782
https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x2dd629b5b685cf8d:0x2d35e4a7b095a80!8m2!3d-7.9642421!4d112.6253963!16s%2Fg%2F11gw2qr_p3!19sChIJjc-FtrUp1i0RgFoJe0pe0wI?authuser=0&hl=en&rclk=1,Burger King,4.6,"-8,123","Ijen St No.84, RW.3",-7.9642421,112.6253963
https://www.google.com/maps/place/Burger+King+-+Merr/data=!4m7!3m6!1s0x2dd7fbf95bbecceb:0x1e82e72847851187!8m2!3d-7.3171333!4d112.7813081!16s%2Fg%2F11gnq9cdkw!19sChIJ68y-W_n71y0RhxGFRyjngh4?authuser=0&hl=en&rclk=1,Burger King - Merr,4.6,"-5,984",Jl. Dr. Ir. H. Soekarno,-7.3171333,112.7813081
https://www.google.com/maps/place/Burger+King+-+Sidoarjo/data=!4m7!3m6!1s0x2dd7e198f2c2ebb5:0x9ea339b5ca355c11!8m2!3d-7.4493816!4d112.7082577!16s%2Fg%2F11fj3q7ffs!19sChIJtevC8pjh1y0REVw1yrU5o54?authuser=0&hl=en&rclk=1,Burger King - Sidoarjo,4.5,"-6,619","Komplek Stadion Gelora Delta, Jl. Pahlawan No.141",-7.4493816,112.7082577
https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x2dd7f962f2204817:0xe12f48e9ba3bad90!8m2!3d-7.2649714!4d112.7480728!16s%2Fg%2F11d_bhpstx!19sChIJF0gg8mL51y0RkK07uulIL-E?authuser=0&hl=en&rclk=1,Burger King,4.8,"-8,450","Plaza Surabaya, Jl. Pemuda No.33-37",-7.2649714,112.7480728
https://www.google.com/maps/place/Burger+King+-+Tunjungan+Plaza+3/data=!4m7!3m6!1s0x2dd7f960a725ce53:0xf0bae0ed71d93d84!8m2!3d-7.2635128!4d112.7391694!16s%2Fg%2F11bz_ysr0w!19sChIJU84lp2D51y0RhD3Zce3guvA?authuser=0&hl=en&rclk=1,Burger King - Tunjungan Plaza 3,4.4,"-17,242",Jl. Basuki Rahmat No.8 - 12,-7.2635128,112.7391694
https://www.google.com/maps/place/Burger+King+Roxy+Square/data=!4m7!3m6!1s0x2dd69393b8389703:0xfa2f95161bf85ab0!8m2!3d-8.1843334!4d113.6636083!16s%2Fg%2F11gs624qqz!19sChIJA5c4uJOT1i0RsFr4GxaVL_o?authuser=0&hl=en&rclk=1,Burger King Roxy Square,4.7,"-4,665","Roxy Square, Jl. Hayam Wuruk No.50-58 Lantai 1",-8.1843334,113.6636083
https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x2dd7f960ec79c5b7:0x1a42877af0e08200!8m2!3d-7.2636196!4d112.7407851!16s%2Fg%2F11c2p7mn0x!19sChIJt8V57GD51y0RAILg8HqHQho?authuser=0&hl=en&rclk=1,Burger King,4.6,"-1,771","Lantai LG Tunjungan Plaza 1, Jl. Basuki Rahmat No.8-12",-7.2636196,112.7407851
