maps,Nama Cabang,Ratinng,Banyak Ulasan,Alamat,LATITUDE,LONGITUDE
https://www.google.com/maps/place/McDonald%E2%80%99s+Jombang/data=!4m7!3m6!1s0x2e78410044fc69a3:0x4497a60a4ce2b17b!8m2!3d-7.5528293!4d112.2355329!16s%2Fg%2F11ybhn0dr5!19sChIJo2n8RABBeC4Re7HiTAqml0Q?authuser=0&hl=en&rclk=1,McDonald’s Jombang,5.0,-4,Jl. KH. Wahid Hasyim No.176,-7.5528293,112.2355329
https://www.google.com/maps/place/McDonald%27s+Mayjend+Sungkono/data=!4m7!3m6!1s0x2dd7fc74d9cff0c1:0xbf0ea035d10a450e!8m2!3d-7.2887506!4d112.7064896!16s%2Fg%2F1hf3h83bs!19sChIJwfDP2XT81y0RDkUK0TWgDr8?authuser=0&hl=en&rclk=1,McDonald's Mayjend Sungkono,4.5,"-10,911",Jl. Mayjen Sungkono No.153,-7.2887506,112.7064896
"https://www.google.com/maps/place/DRIVE+THRU,+McDonald%27s/data=!4m7!3m6!1s0x2dd1450046b76595:0x80094448e9ce11d6!8m2!3d-8.2188533!4d114.3691228!16s%2Fg%2F11y6ggq1qn!19sChIJlWW3RgBF0S0R1hHO6UhECYA?authuser=0&hl=en&rclk=1","DRIVE THRU, McDonald's",5.0,-1,"Q9J9+FJ5, Jl. Jenderal Ahmad Yani",-8.2188533,114.3691228
https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x2e78834cc396c2d3:0x9f93d96f1f5f53b2!8m2!3d-7.9468775!4d112.6127188!16s%2Fg%2F11g1lw1vfg!19sChIJ08KWw0yDeC4RslNfH2_Zk58?authuser=0&hl=en&rclk=1,McDonald's,4.5,"-6,307",Jl. MT. Haryono No.115,-7.9468775,112.6127188
https://www.google.com/maps/place/McDonald%27s+Basuki+Rahmat/data=!4m7!3m6!1s0x2dd7fbdf9a148d5b:0x41324894111434d7!8m2!3d-7.2642307!4d112.7412496!16s%2Fg%2F1tz273__!19sChIJW40Umt_71y0R1zQUEZRIMkE?authuser=0&hl=en&rclk=1,McDonald's Basuki Rahmat,4.5,"-16,387",Jl. Basuki Rahmat No.21-23,-7.2642307,112.7412496
https://www.google.com/maps/place/McDonald%27s+Darmo/data=!4m7!3m6!1s0x2dd7fbc00d407c97:0x748f2784694961e8!8m2!3d-7.282314!4d112.740692!16s%2Fg%2F1tcx43f6!19sChIJl3xADcD71y0R6GFJaYQnj3Q?authuser=0&hl=en&rclk=1,McDonald's Darmo,4.5,"-15,354",Jl. Raya Darmo No.43,-7.282314,112.740692
https://www.google.com/maps/place/McDonald%27s+Pahlawan+Depan/data=!4m7!3m6!1s0x2dd7e155c79680ff:0xc7efd610b2b2884!8m2!3d-7.4492599!4d112.7039092!16s%2Fg%2F11hyt5dpzj!19sChIJ_4CWx1Xh1y0RhCgrC2H9fgw?authuser=0&hl=en&rclk=1,McDonald's Pahlawan Depan,4.5,"-12,734","Jalan Pahlawan Depan, GOR No.1",-7.4492599,112.7039092
https://www.google.com/maps/place/McDonald%27s+Waru/data=!4m7!3m6!1s0x2dd7e4bab51796c3:0x72e59358a8c7300a!8m2!3d-7.3651578!4d112.7286466!16s%2Fg%2F1hd_jrnrp!19sChIJw5YXtbrk1y0RCjDHqFiT5XI?authuser=0&hl=en&rclk=1,McDonald's Waru,4.5,"-10,247",Open 24 hours,-7.3651578,112.7286466
https://www.google.com/maps/place/McDonald%27s+Jember/data=!4m7!3m6!1s0x2dd695217bb0ebcf:0x4a85010dccc8f5ca!8m2!3d-8.1843161!4d113.6658892!16s%2Fg%2F11h00kpvf2!19sChIJz-uweyGV1i0RyvXIzA0BhUo?authuser=0&hl=en&rclk=1,McDonald's Jember,4.6,"-4,031",Open 24 hours,-8.1843161,113.6658892
https://www.google.com/maps/place/McDonald%27s+Pabean/data=!4m7!3m6!1s0x2dd7e51fdb8464e9:0xff4d642dff694405!8m2!3d-7.3689968!4d112.7639773!16s%2Fg%2F1pv1bwv9x!19sChIJ6WSE2x_l1y0RBURp_y1kTf8?authuser=0&hl=en&rclk=1,McDonald's Pabean,4.5,"-9,312",Jl. Raya Pabean No.6,-7.3689968,112.7639773
https://www.google.com/maps/place/McDonald%27s+Rungkut/data=!4m7!3m6!1s0x2dd7fac464a74edd:0x3a9750d6e499fb3d!8m2!3d-7.3311261!4d112.7757045!16s%2Fg%2F11r9j2szg!19sChIJ3U6nZMT61y0RPfuZ5NZQlzo?authuser=0&hl=en&rclk=1,McDonald's Rungkut,4.5,"-10,536",Jl. Rungkut Madya No.57-59,-7.3311261,112.7757045
https://www.google.com/maps/place/McDonald%27s+Taman+Geluran/data=!4m7!3m6!1s0x2dd7e349eaad983b:0x2c26291f3accfb55!8m2!3d-7.3565365!4d112.6929233!16s%2Fg%2F11bxd7hxq3!19sChIJO5it6knj1y0RVfvMOh8pJiw?authuser=0&hl=en&rclk=1,McDonald's Taman Geluran,4.4,"-10,595",Open 24 hours,-7.3565365,112.6929233
https://www.google.com/maps/place/McDonald%27s+A.Yani+Banyuwangi/data=!4m7!3m6!1s0x2dd1450039d4d38b:0xde50be85cd9af6cd!8m2!3d-8.2168442!4d114.3701129!16s%2Fg%2F11y2fyn9p3!19sChIJi9PUOQBF0S0RzfaazYW-UN4?authuser=0&hl=en&rclk=1,McDonald's A.Yani Banyuwangi,4.2,-360,Jl. Jenderal Ahmad Yani No.7,-8.2168442,114.3701129
https://www.google.com/maps/place/McDonald%27s+Mulyosari/data=!4m7!3m6!1s0x2dd7fa1d02832ac5:0x4a330da80a7752dc!8m2!3d-7.266736!4d112.7963992!16s%2Fg%2F1tdt3k2m!19sChIJxSqDAh361y0R3FJ3CqgNM0o?authuser=0&hl=en&rclk=1,McDonald's Mulyosari,4.5,"-6,642","Ruko Central Park, Komplek Jl. Raya Mulyosari No.121",-7.266736,112.7963992
https://www.google.com/maps/place/McDonald%27s+Sarinah+Malang/data=!4m7!3m6!1s0x2dd62822bcfd98b1:0xccb1c8069a4871eb!8m2!3d-7.9808458!4d112.6307215!16s%2Fg%2F11cjpbrp_y!19sChIJsZj9vCIo1i0R63FImgbIscw?authuser=0&hl=en&rclk=1,McDonald's Sarinah Malang,4.4,"-5,468",Open 24 hours,-7.9808458,112.6307215
https://www.google.com/maps/place/McDonald%27s+Graha+Famili/data=!4m7!3m6!1s0x2e69fa35284ebdd1:0x7be06aabc6bbf2d1!8m2!3d-7.2882881!4d112.6788257!16s%2Fg%2F1pzq4cn5d!19sChIJ0b1OKDX6aS4R0fK7xqtq4Hs?authuser=0&hl=en&rclk=1,McDonald's Graha Famili,4.5,"-9,791",Jl. Raya Graha Famili Utara Blok KL No.5,-7.2882881,112.6788257
https://www.google.com/maps/place/McDonald%27s+Mojokerto/data=!4m7!3m6!1s0x2e780d52fc06150b:0xb33a7b17d3fe0335!8m2!3d-7.471869!4d112.4471897!16s%2Fg%2F11rqmzhr2d!19sChIJCxUG_FINeC4RNQP-0xd7OrM?authuser=0&hl=en&rclk=1,McDonald's Mojokerto,4.5,"-2,011",Open 24 hours,-7.471869,112.4471897
https://www.google.com/maps/place/McDonald%27s+Manyar+Kertoarjo/data=!4m7!3m6!1s0x2dd7fa4eeb01ebc3:0xbbe4bdcff5e4dc0c!8m2!3d-7.2794222!4d112.7653349!16s%2Fg%2F1ptx9bs5q!19sChIJw-sB60761y0RDNzk9c-95Ls?authuser=0&hl=en&rclk=1,McDonald's Manyar Kertoarjo,4.5,"-11,278",Jl. Manyar Kertoarjo No.15,-7.2794222,112.7653349
https://www.google.com/maps/place/McDonald%27s+Wiyung/data=!4m7!3m6!1s0x2dd7fc57f7e67303:0x46607366c1f7fef4!8m2!3d-7.3097208!4d112.6794908!16s%2Fg%2F11bzv93gtl!19sChIJA3Pm91f81y0R9P73wWZzYEY?authuser=0&hl=en&rclk=1,McDonald's Wiyung,4.4,"-6,250",Jl. Raya Menganti Babatan No.640,-7.3097208,112.6794908
https://www.google.com/maps/place/McDonald%27s+Puri+Surya+Jaya/data=!4m7!3m6!1s0x2dd7e569eb3b2d1f:0xe3442410f312660f!8m2!3d-7.3957215!4d112.7280944!16s%2Fg%2F11c1wxpfh7!19sChIJHy0762nl1y0RD2YS8xAkROM?authuser=0&hl=en&rclk=1,McDonald's Puri Surya Jaya,4.5,"-7,152",Jalan Puri Surya Jaya Jl. Taman Gerbang Utama Kav 1,-7.3957215,112.7280944
https://www.google.com/maps/place/McDonald%27s+Sunandar+Priyo/data=!4m7!3m6!1s0x2dd629cfd9753849:0x2b7b69fe199de5d3!8m2!3d-7.9563959!4d112.6441613!16s%2Fg%2F11fq4_k_zz!19sChIJSTh12c8p1i0R0-WdGf5peys?authuser=0&hl=en&rclk=1,McDonald's Sunandar Priyo,4.5,"-4,451",Jl. Sunandar Priyo Sudarmo No.11,-7.9563959,112.6441613
https://www.google.com/maps/place/McDonald%27s+MERR/data=!4m7!3m6!1s0x2dd7fb05e84ef383:0xa9c9bb97c1e7d6fe!8m2!3d-7.2952036!4d112.7809788!16s%2Fg%2F11pcxwz32w!19sChIJg_NO6AX71y0R_tbnwZe7yak?authuser=0&hl=en&rclk=1,McDonald's MERR,4.5,"-1,569",Open 24 hours,-7.2952036,112.7809788
https://www.google.com/maps/place/McDonald%27s+Arjosari/data=!4m7!3m6!1s0x2dd6292577df44bd:0xf37f9ef3b6eee337!8m2!3d-7.9219783!4d112.6525845!16s%2Fg%2F11j_2xh4h2!19sChIJvUTfdyUp1i0RN-PutvOef_M?authuser=0&hl=en&rclk=1,McDonald's Arjosari,4.6,-907,Open 24 hours,-7.9219783,112.6525845
https://www.google.com/maps/place/McDonald%27s+Plasa+Marina/data=!4m7!3m6!1s0x2dd7fb1e4fba2b2d:0xfd066b59ea41ee4f!8m2!3d-7.3163531!4d112.7481476!16s%2Fg%2F11hyt5mz4r!19sChIJLSu6Tx771y0RT-5B6llrBv0?authuser=0&hl=en&rclk=1,McDonald's Plasa Marina,4.5,"-8,187",Open 24 hours,-7.3163531,112.7481476
https://www.google.com/maps/place/McDonald%27s+Sudirman+Madiun/data=!4m7!3m6!1s0x2e79bfcb68056fe3:0xb972a15d400616ad!8m2!3d-7.6314083!4d111.5233361!16s%2Fg%2F11h_cmrxw2!19sChIJ428FaMu_eS4RrRYGQF2hcrk?authuser=0&hl=en&rclk=1,McDonald's Sudirman Madiun,4.5,"-3,592",Open 24 hours,-7.6314083,111.5233361
https://www.google.com/maps/place/McDonald%27s+Plaza+Surabaya/data=!4m7!3m6!1s0x2dd7f965933d5fc5:0xdc335cd7cf604a3f!8m2!3d-7.2654603!4d112.7491491!16s%2Fg%2F11mw8jgx18!19sChIJxV89k2X51y0RP0pgz9dcM9w?authuser=0&hl=en&rclk=1,McDonald's Plaza Surabaya,4.4,-959,Jl. Pemuda No.27-31,-7.2654603,112.7491491
https://www.google.com/maps/place/McDonald%27s+GKB/data=!4m7!3m6!1s0x2e77ffd64022a853:0x69e47b6b9ddd08ca!8m2!3d-7.1587314!4d112.6182478!16s%2Fg%2F11b6hn1bmg!19sChIJU6giQNb_dy4RygjdnWt75Gk?authuser=0&hl=en&rclk=1,McDonald's GKB,4.4,"-5,432","Perum Gresik Kota Baru, Jl. Sumatra No.4",-7.1587314,112.6182478
https://www.google.com/maps/place/McDonald%27s+Brawijaya/data=!4m7!3m6!1s0x2e7857ca552e7f75:0xe5950095e466e067!8m2!3d-7.8143874!4d112.0126832!16s%2Fg%2F11kq5dqjgm!19sChIJdX8uVcpXeC4RZ-Bm5JUAleU?authuser=0&hl=en&rclk=1,McDonald's Brawijaya,4.5,-297,Jl. Brawijaya No.21,-7.8143874,112.0126832
https://www.google.com/maps/place/McDonald%27s+Kenjeran/data=!4m7!3m6!1s0x2dd7f9bd04b8f5e3:0xf901dc892af5e0d8!8m2!3d-7.2517873!4d112.7832552!16s%2Fg%2F11rv8wcrtg!19sChIJ4_W4BL351y0R2OD1KoncAfk?authuser=0&hl=en&rclk=1,McDonald's Kenjeran,4.3,"-1,101",Open 24 hours,-7.2517873,112.7832552
https://www.google.com/maps/place/McDonald%27s+-+Kediri+Mall/data=!4m7!3m6!1s0x2e78571666a21d3d:0xcade39342d6443b1!8m2!3d-7.8155622!4d112.0189398!16s%2Fg%2F1hdzjvk5q!19sChIJPR2iZhZXeC4RsUNkLTQ53so?authuser=0&hl=en&rclk=1,McDonald's - Kediri Mall,4.5,"-4,983","Sri Ratu Mall, Jl. Hayam Wuruk No.46",-7.8155622,112.0189398
https://www.google.com/maps/place/McDonald%27s+Citra+Harmoni/data=!4m7!3m6!1s0x2dd7e333c84209ab:0xf805899e9c846bdd!8m2!3d-7.3741862!4d112.6406003!16s%2Fg%2F11r_5flkp7!19sChIJqwlCyDPj1y0R3WuEnJ6JBfg?authuser=0&hl=en&rclk=1,McDonald's Citra Harmoni,4.5,-968,Open 24 hours,-7.3741862,112.6406003
https://www.google.com/maps/place/McDonald%27s+Rajawali/data=!4m7!3m6!1s0x2dd7f9448e2a15c9:0x941a629f740d328a!8m2!3d-7.2351994!4d112.7328717!16s%2Fg%2F11s7c_7bb1!19sChIJyRUqjkT51y0RijINdJ9iGpQ?authuser=0&hl=en&rclk=1,McDonald's Rajawali,4.3,-816,Jl. Rajawali No.47,-7.2351994,112.7328717
https://www.google.com/maps/place/McDonald%27s+Batu/data=!4m7!3m6!1s0x2e7881006fad809f:0x6e4bcb3d8f338ebb!8m2!3d-7.8953963!4d112.5537726!16s%2Fg%2F11w313rv1k!19sChIJn4CtbwCBeC4Ru44zjz3LS24?authuser=0&hl=en&rclk=1,McDonald's Batu,4.2,-95,Jl. Raya Beji No.125,-7.8953963,112.5537726
https://www.google.com/maps/place/McDonald%27s+Tulungagung/data=!4m7!3m6!1s0x2e78e33af8caf9a1:0xd197d8771d7ef06c!8m2!3d-8.0585939!4d111.907092!16s%2Fg%2F11l27rlgm9!19sChIJofnK-DrjeC4RbPB-HXfYl9E?authuser=0&hl=en&rclk=1,McDonald's Tulungagung,4.7,-159,Jl. Panglima Sudirman No.40,-8.0585939,111.907092
https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x2e708c9929811453:0xdd2678a0c217d1e6!8m2!3d-7.0060731!4d110.4321018!16s%2Fg%2F1ptyc2t00!19sChIJUxSBKZmMcC4R5tEXwqB4Jt0?authuser=0&hl=en&rclk=1,McDonald's,4.5,"-2,988","Java Supermall, Jl. MT. Haryono No.992-994 1st Floor",-7.0060731,110.4321018
https://www.google.com/maps/place/McDonald%E2%80%99s+PTC/data=!4m7!3m6!1s0x2dd7fdafa06485cb:0xfa9eee3ec81bcbd5!8m2!3d-7.2903666!4d112.6741418!16s%2Fg%2F11kd6bsd69!19sChIJy4VkoK_91y0R1csbyD7unvo?authuser=0&hl=en&rclk=1,McDonald’s PTC,4.1,-12,Jl. Mayjen Yono Suwoyo PTC Lantai Ground Blok C5 No.6,-7.2903666,112.6741418
https://www.google.com/maps/place/McDonald%27s+Kiosk+Malang+Town+Square/data=!4m7!3m6!1s0x2e788278b3885af1:0x5e044d4b587f9b17!8m2!3d-7.9568856!4d112.6187724!16s%2Fg%2F11c6_c2__4!19sChIJ8VqIs3iCeC4RF5t_WEtNBF4?authuser=0&hl=en&rclk=1,McDonald's Kiosk Malang Town Square,4.3,-150,Jl. Veteran No.2 LC01-0A,-7.9568856,112.6187724
https://www.google.com/maps/place/McDonalds+Rest+Area+KM+726B/data=!4m7!3m6!1s0x2e7809da7c888771:0x3cfdf26f358ab6f!8m2!3d-7.3758473!4d112.5533592!16s%2Fg%2F11j2527g5b!19sChIJcYeIfNoJeC4Rb6tY8ybfzwM?authuser=0&hl=en&rclk=1,McDonalds Rest Area KM 726B,4.6,"-2,459",Open 24 hours,-7.3758473,112.5533592
