page,name,link,thumbnail,rating,date,snippet,images,local_guide,fastfood
1,Ryan Ravi Is Syahputra,https://www.google.com/maps/contrib/106922885865064189253?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXDJfHNLbXo5epdOzn7tR8h9_LrCWXrjP3oUc3e0p1GrVnqDq0a=s120-c-rp-mo-ba5-br100,5,5 tahun lalu,"McDonald's Jember
Tempat terfavorit saya yang sudah saya tunggu tunggu bertahun tahun akhirnya hadir di Jember

Mengulas McD Sangat amat menyenangkan
Banyak hal yang dapat diulas mulai dari tempat, sajian makanan, minuman, dan snack

Makanan disini rata rata sajian ayam, burger, namun buat yang tidak suka ayam juga tersedia menu Ikan , Fish Fillet Burger maupun Fish & Fries yang tidak kalah enaknya

Untuk ayam tentu saja pecinta pedas pastinya akan menyukai variant Spicy (Ayam Pedas) pedasnya berasa sekali dari Lapisan Kulit dan juga Daging nya
Ohya! Jangan lupa Nasi di McD Sangatlah berkualitas ⭐⭐⭐⭐⭐

Untuk variant minum sebenarnya sama saja seperti tempat lain, Unik nya di McD terkadang ada spesial Menu andalan
Kebetulan untuk Bulan Ramadhan 2019 ini mereka menyajikan Teh Buah Tin 🍎🍏

Jika anda bertanya apa yang akan saya pesan:
Tentu saja Paket Panas 2 (Dua ayam)+ Freshtea No ice (karena saya rasa sudah cukup dingin)
Biasanya di awali dengan Ice Cone seharga 6000 lumayan sekali kan 😊😊😊
Atau sesekali saya akan pesan Menu Fish & Fries yang dijamin bikin ketagihan sama lembut nya olahan ikan nya

Cocok lah buat destinasi utama keluarga, pasangan dan anak muda, selamat mencoba guys 😊😊😊","['https://lh3.googleusercontent.com/geougc-cs/AHRlGdnMMJR3R6oBGq2stV0Wxju7MqoCKuSGqgsDZkZUzwl0rHXECM1xvjrKWAUUZ-HRFmUdKLuZjhzArjW2jlEuSM-BbKXyKGZMsguuwStO78F6uig36CTLjpTrNRRUxBA2DQW4mfTr', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmPCLnVsRazWnJFT1fbNWQhbFofYRwQRcQNIMvYoYF3RT-0UBpcP6-Cnql-ujTe7Ln9HcXJKgBBucqj3vzC_WtWoU3a8EBGrfQmSTPbiT-Dzsn9tmoj-TUm2zLV70_uYji7zx0', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnCLsJi8rl2k59GsIzaKFVyp3etdfC1TCLmcVr7g9KB2uD_5yUaVym1Hb06iGsnW_Tw2QgyNM0sNchJRwzMcp17WYWNSzBq090CyTD3Ru5LdUxXRJeTxWFUh6N4OTaU6__aHvss2g', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlwf20gvkq4BH54Eq3SFVE2-cezQeGVoHPgyppp2R4YuK16Wcp0vrl7jqkDxIh0UoCaIHg_XNfWg80Ql0ggsPTfNrt5KaMqybc2jkh2pkwsUn1qWWXBg1JWgMGoW5iIQ9T-kTLf', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdme67ADVHvGNBFp1_atf2S80jD0N8HmXkg3wgSAEX1r0NIoXc-ykHt_GanmEfuMXyzR9LMvbTB67kwnSPSZMlEvVJNun7xLGgfsTxpXunnd-lTBF8MdQhNCJuZaXzD8QZIoWgY-', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdk_FNEBf4uGhkHLvBFQIkxCHEhcupdCKcQbIW1bz8mRqUeyLIRsukIncufnGwzsCobrv_KNcJZ2LqRf8L6GIY36hLzwCL-UTw-JQ6Sr6wD9QmEL2csU-aHfSwEB-4se-b0VQOsPKw', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkzeKCH2qojOHrY9-1gloqqz_vMGa5yWEihw-JIJMpdEkr184T9wyOayD83eN32i1z7CoFYDPBzLBzqNYZCnQPivUAzb5SnMQgl7lNuZeviQpKXmoQO6a3esr1Z6qv6Q65Cxr1K']",TRUE,McDonald's
1,Siti Fawaida,https://www.google.com/maps/contrib/116424973981611829322?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWuBNcPHN9aCSX8YJzeoBu4ewIBt4D-LLL_k65nl4WWS3ohD7rb=s120-c-rp-mo-ba3-br100,5,setahun lalu,"Ini sih take away + dine in wkwk
Apalagi yg mau dijelasin yaaaa soalnya mcd ya udah gitu aja. Ga begitu rame tapi kadang ruameee banget. Lumayan murah kalau pake aplikasi sih",['https://lh3.googleusercontent.com/geougc-cs/AHRlGdms2useL0KwMCgEOoiIl6vojpvnGexKdT66aSrQe64qG3bGPp5QBvENIrMOvMSeX2Gns1dAa6XmPh2tHkkL4tC_ici036fZhnn56mC3nc-bzROhlXrE58ahwuBBRxbTftOZixeB'],TRUE,McDonald's
1,anastasia grey,https://www.google.com/maps/contrib/115818187164783763443?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWATNoLzay0Xy-uUch28brQgQ8eNuNQo78b028DMmNEZMaPZWu2=s120-c-rp-mo-ba2-br100,5,setahun lalu,"McD punya tempat spesial di hati. Disini seringnya malam malam, karena jalan utama Jember selalu lengah kalau pukul segitu. McD 24 jam siap buat nemenin orang orang yang lagi galau, lagi gatau mau ngapain, atau sejenak lepas penat dari lembur malam depan komputer. Biasanya kesini terus makan di mobil sambil dengerin Hindia on repeat. Menu favorite ku adalah paket Mc Spicy, rasanya bikin ga bisa move on dan ga doyan burger di tempat lain. McD adalah saksi.","['https://lh3.googleusercontent.com/geougc-cs/AHRlGdnxAnLiGI2-6BQPe-EiBIyt-jkbepGdAktnK_6bXnw99syMg-tqwAB3BVH45OEwzjHfsxhv4xjapm7Kqi-4Kl2qtGhUADhiHb3kjA4O5D0omlTblLjOj-6hs6eb0LXutoGtiRm6nA', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmRj3tJv3i6qmd3BqEwZCcsayE77X2T8GeFlrNc4mx56Fm4P9alyXbse28dF5YHUyGa_O-Vryl6cw6r9PmB_8_0eMZSwpuiqFCd5Fk-Gh_qAdfHrnHMfrThwmTSp0JSin3s6glc']",TRUE,McDonald's
1,Babygangster Official,https://www.google.com/maps/contrib/117715913496323471117?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWGpHcickeHosXl2-rnCrDfHPRfiIFXp0x183KdVYPJGNkmpk5n=s120-c-rp-mo-ba4-br100,4,5 tahun lalu,"Cocok untuk sahur dan berbuka di bulan Ramadhan, buka 24 jam, letak berhadapan dengan Transmart Jember. Pelayanan ramah, tempatnya rapi dan bersih...

Seperti MCD biasanya. Recomended 🌟🌟🌟🌟","['https://lh3.googleusercontent.com/geougc-cs/AHRlGdmJPsxkC440qRe5V601QFuplebrs5OzmF4GIKj2HI9epG77_Vel2J333qeelTo7eFSr5jCDyozLudIP922BKEJ4JpZllHLF72fV6DwfevBqeLlM_0yY8bbz_BLP0Wwf_69XXppP', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkchCPyUZzM6TJ0oZ3avv5RT86EbthUcKEahMObnzoscuNREgjutrMzvIA21v6AsdH2JxnHsKF7KK4X-zXiHHypngA-rP4wllq9d1I_Sl-NBBDU_ebyL5MG8ftoZZFYA4lfywRJ', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdm7QDxVW0glNgkfHZDatsdey-t6mjE1ulX4k9AfjIShdSYVDsmZmS5D9JrmTs-Kl2d54iAwId14QdnMqhLr6Q9HO8wIHsCVQgaNO9E-ikcM0CJQRgwkhjtctiIHqSIqZjaKH4IV', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnZQ39j77KjWHFk4iB_zwJFLW1WFoiOP9cXYz_u9TkHW6_ZnKdC7kqzKZAYJv0ND7ZT1pUQwHrYaGGcRGEiEeA9eR5BGVYC_Ic8wN412-XvoBbcTemflo34i636paGBdmLY9cxp', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdn_k4ttk8xUwxoNE2t-E7LgwIHxQvahMDm9JL3F_SsW5EuEMENqhUge1nJDBW-ZcPFTX3m_AhLjqZ2OQxyoZsBl9S5kX9Y_9e5Hd7D-OZVp_oVpA8hIr_gKI3A-wgTUydwzhuao']",TRUE,McDonald's
1,Nabila Ariesda,https://www.google.com/maps/contrib/109640162281727479559?hl=id,https://lh3.googleusercontent.com/a/ACg8ocIHLMZ6VmnEFae48qRGsJFSgYAfFZ2ZHD7G6P-wPkr3mumuAe_s=s120-c-rp-mo-ba4-br100,5,setahun lalu,"Untuk rice bowl harga overprice dg porsi segitu, untuk rasa biasa saja malah tidak sesuai dg nama judulnya, mcflurry never gets old, air mineral jg mahal mungkin krn plus tax charged. Yg lumayan untuk sy hanya fried chicken dan mcflurry atau sundae nya saja.","['https://lh3.googleusercontent.com/geougc-cs/AHRlGdnypFndS_6rAVoH8BsRLy7M2NUAFB4Clc3PQTnNbBIR9oz89_MgGhbVbnKQ3rU3k6Fxq0ad7wel5aL5VM8XxV52fK0npoDy2IZ7nDJTrB7A61n47Ph2HlcccNh5xpfs_b7R_RML', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnqwhgW6izMgw3K7PaM4URKNOKPW5PUM1ESCOb5CKXtDVKTsuLype1zuUB1rLBWc9IKHaupUtLoMnccsyerbXtno94fEGYBBL_SN_ZFrOvNydbQ9a7H1cmSfxWlrhP_qIEFJEZzQw']",TRUE,McDonald's
1,Fiki Firmansyah,https://www.google.com/maps/contrib/102669559249115897002?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWNzW3DpDevGXvBz3hHLn7WJVjTEnamiF-vQ4ojpOr2afN62WvZJA=s120-c-rp-mo-ba5-br100,4,3 tahun lalu,"Bersih, tapi disini tidak ada McCoffee jadi cuman bisa pesan kopi biasa, rasa burger nya menurun rasanya, nggak anget, sama kentang gorengnya kering banget seperti udah digoreng lama trus didiemin, rasanya nggak fresh aja kentang gorengnya. Melempem.","['https://lh3.googleusercontent.com/geougc-cs/AHRlGdkeHqML7KDpQQtGFh5EdfVOzxZyjHUeKvLlZvZI_wH6yeKbdHfw_pM0jopJvK4FHIHssgAA4AM_Uvd8MFX0kI0uDDCDyJz4Jape_BzM02BhNdsGbLqvohkXpjmbaGOa8AmUXto3', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmUBrw8339Xufon3J0iF_060uza1vP9FQHVsu3BFzD8MB1Ca502EFbz86IgM3jXkBGI9eI_NyQ0e5qPliNIqYhG3rrs0v4JqeZ3gENQQzisRA-s82xNrgHhDLzwrmjq_esVPKJlrA', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkE31l0-DT3tbdYxMd5Doho2OK4ljLwGCqFgvEmwbnTTOyBLvgkB5ChIgeHEEhu6JGC7KjGGVAiwGcLpg5jKgg4yS6U9c6OAKB23KHDGh2fm-06caM7mWrqs63BVw_Ic-Xvu1I', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnctYVFU50DOGCuYXDIyZq8wjxqzg7dJp-wVn_ipl2a55UlLfppSQNyoeLZRmBfFe3au-AM3NPOxhGLaVz-EYQfBV4xDzMXQPy7f1iD4B2cGptwUZ5xJG0PjODfZJ_H0JICqT3TZg', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmCAdu2HjIAcTYupF-cuOS0QWZOtsIi0nZt_DaoS9832eTWib-4Wv_oapxWx3RtgxwdHkZArFL23nJISllUXGdAOhL9NwUdsup_F-dy3O54YpshI4Vh_0UzyYHcpBCbDgfCb1Nl', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdn7vgZybHuonjjkC7fc-pJvYU-uSnzaQ927Kq0J7BIWzZ1qG56nffqLWLac8w6C-p8kHa-hQz9gg3GER_EnE7LM6beBddmD_A1Lh7I6UcNawfPNdc_U_boI1tyUR6MuSbMAl1GETQ', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmt-26M0334aNjxFrB2rSHiw0NgJ_MrWePGdlm17LjOgTtHRsylfJ79LmA98cp3taqk-8rl92Irx1LOagTolZ0W345oJtRv5CcnyoGWz2jSu056H5B_rgqrcX4VSkgFNS12h8gd']",TRUE,McDonald's
1,Fatimatuz Zah'ro,https://www.google.com/maps/contrib/112557488286993805346?hl=id,https://lh3.googleusercontent.com/a/ACg8ocIgodMHlopzZNvNtnHO7KQT4ruOSbN6AIMqO5z4jw9Se-_tB0Yx=s120-c-rp-mo-ba5-br100,5,4 tahun lalu,"Salah satu outlet McDonald's yang ada di Jember. Menerapkan protokol kesehatan COVID-19. Bisa Dine In, Drive thru/take away dan Online Delivery. Tempatnya cozy dan bersih. Family Friendly. Tempat parkir luas.","['https://lh3.googleusercontent.com/geougc-cs/AHRlGdnZuFJc86o1EGL6uW54JKtyNG_wsNxU2_AZK7dYIvy93IH8ryl8RKiHVD1I6bOx8DwAtqWTx6FF1MVV_FQcUdGTt2PO3qfOZ6fAcDMetF7_bGDzcNcB8ck3Ai8gd-ZkQG-wBfCQ8g', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnagMMfHr2HkaHd2feNveOgHuirDTgcMAdB6UISBEf-y14XEYq-a0MDXfuJz2uk1NwxrITmUrjCUHElLHIFiBaLjlZUYaQ2aim2tPYpaV0tIJyCE25WZsVGz5EkxYRjmGJ1axRP', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlAIhdAzKrgMtHB0mZOfyUZg493IdT0rkE1Sb1Mjcm0P1442YPB7pbzk2NR1DsXrfUWRyu8gMoJz0KtcD7SzrgElA6FZ8fVhQBMDtSIvzybFpkwNct5ssQT9HVrvKObMYzTFhPg', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdn3fRo5abJ87jZ2XfaHVrqBxZE08XrQBmV0JYpckE0p_P8mTxQPlilTMFo_EmywfIEuD270zKq7YxDlOD1Mjfk-77LXOfQYhDPN9XgQJAZJ8rHAn4ZqbkpBOCh5p1f3-Vbc66Jpyw', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdl58tmJeRckbefyGjr__CLn5E34MmhRYXL4gLloJYUeifktgRudy0nieUtjy3c2USNpUa0pmx5OfHHrdktfrgpIrDakZti_Ovww4rBluCKkWdtEO_ZJC0Al4nLX98q8DI-rymvD', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmzx6nkm4fLcYlsGA0a19Ir3UyeqA2y2rAXGW-r1OzpR4zeH8eGzCT3kj8P1oxOdhOr6z9vXeRo8nfC5MNpdEGT886gRRciezQ_szU5QUo5CA6HDEMWNgYkWppCjPukEvyFQmovdw', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnUyTWojVqj1w8Cu5BUk3yR4tcxho0tLV5ciDdHAkCW7jqQD1x_4evJ3Bqy_SfhvWocOYePAZZguOr-A7g2NuziKF3shsoFm9bLbcWzr98vS6pwqSGvO9GAEO-Hy6GfRC2Zhhs', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnDLNnnnWFEUoRo1sN_E0yeuQIYcwjIYUnEaZCMkplHFX1NWTNBYRQGQ_m0Zu11VPupgbXxvy9aBGEJI8a3SSN0FszuSJenRB44JaHvMr-76AdgLv_zN4a2CD3k0Mcws1yJt9Is', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlXYMFzdwsgBATgVa7VASpHZPOwI_ivmJb0kV4apSu9kqcx0rM56MN-0wvwhlGEU5Lesht8uk5g_ksbYSEg2pNHiaUda-YB-3kbIBEmzUi9FbWt_QMutqlU3gSMcyUqjFCvdglL']",TRUE,McDonald's
1,Ikyku,https://www.google.com/maps/contrib/117656756263088161924?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXAQvmOBuSrUQu4LZvaneUqmJ26WP5BHiHFBFE2HquQdxsSiauo=s120-c-rp-mo-ba3-br100,4,4 tahun lalu,"McDonalds pertama di area jember, lokasinya cukup strategis karena saling berdekatan dengan Transmart, Hotel dan Roxy Square, ada tempat parkir khusus sepeda motor di belakang, sayangnya belum diberi penutup jadi sering kehujanan & kepanasan, kamar mandi cukup bersih, ada 2 tempat pilihan untuk makan, mau di dalam ruangan AC atau diluar ruangan, pegawainya ramah dan sabar-sabar ketika ditanya diskon, potongan & variasi menu yang ada, overall sudah cukup senang & memuaskan, saran mungkin suatu saat kalau pandemi berakhir, & masyarakat cukup menyukai tempat ini, bakalan bisa dibangun bertingkat & diperluas lagi, Aamiin 👍🏻😃","['https://lh3.googleusercontent.com/geougc-cs/AHRlGdloEe7KQvBCeW3zOznVkRs-mcpNv79_aQzZFPLel0dGEUcnMwizrKWcSBPAwLggB1E8K6vQ29zOOxlVZNF8551hR7TTVvxrDEX-Pm4T32eqM1CpTmaYL-OAfyQQFjuFsJAPfrM', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmYt8QLVPMXpr_JcducQ2t3T7mjZQFJWZnu5gZZ0WkOjZ5YLVVn9jLiAG4ct_aKXD42O_YdkcXHcFrCswAbyhDmRspIDKVFxS0D3wN_r1tlDNHziKwGMe3hX8bIsGbM1nPRATXbnQ', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdm_nBJOTSFLz0GNU8OfIQen8CwZ5tCu4wrx_PrT17Myg1UOIUo1ZX9aBbcFHD3CHoMe4IDDqVY2Qg5EzhR93anv6-Hr3X6lB9OdDTwJ9CkGYrSRWAjRvw5aBttZ2pK_6WYEhgTn']",TRUE,McDonald's
2,Asma Nabila,https://www.google.com/maps/contrib/114272218391571087639?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWZe5TZHQVVN71I6OCLBKsd0cBxwIg2myHAADCrftoQhNRTBieHeQ=s120-c-rp-mo-ba3-br100,5,3 tahun lalu,"Tempatnya strategis, di seberang transmart dan masjid cheng ho. Tempat makannya tidak terlalu luas, tapi menyediakan layanan drive thru. French Fries yang dimiliki sangat worth it untuk dibeli. Pelayanannya bisa dibilang cepat. McD menerapkan self service dimana kita harus membereskan meja kita sendiri saat setelah makan. Dengan menggunakan aplikasi, kita juga bisa mendapatkan banyak voucher yang dapat di claim saat pembayaran👍","['https://lh3.googleusercontent.com/geougc-cs/AHRlGdnG_FkGnB-XROJORzNvkovBkvSP9txce6VY2Y7T8rsFDwvPeIZ63YOz-dI3lEQOQixlC4my4uAn_xyp3x7uhtkzUFEtnguo2fR0KNl-iWOnnlyGbeoRRs1jcgiSk3brnHcFhxef', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnY4hjQUeF8Vgy-obPOzw66xCWPWiEliaE3SGKw1a-undAR8khnN-Uo_a1omtSN_7p4v1ORKtP1Gh8kUkP2JQcxQmcubwTg3bo66p9uc7eWrtYb7OeW284hGo6Kt_hf1AEbXQzk', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlcBRwUMUrFbefGJYhLCRkt6B4jIU2mDbSIGjyMFZnLlwB9-G5REipstqBOQuUnVsSbwEJsShvISZkSsL5ZugAUYEJ_mBvYt8SN5jvI2fkzQkxBKebd1XOpM_2K7QRK5UP8X-aVNg']",TRUE,McDonald's
2,evita juniasri,https://www.google.com/maps/contrib/117738381128608370091?hl=id,https://lh3.googleusercontent.com/a/ACg8ocKjM7FC-J_6t21_gOV8hhsYimH1gVw5A50AJefUU9Ai0qfEcQ=s120-c-rp-mo-br100,1,setahun lalu,"Saya lampirkan foto nota n ayamnya.

Apa separah ini pelayanannya mcd sekarang ??!!??

Pak saya pesen large.. kok bisa dikasi paha pentung ini.
Td minumannya salah saya pesan coffe + jelly saja diinput float.

Minumannya sdh diganti.
Sy ga minta refund uang hampir 5k.

Kok sekarang saya dicurangi lagi!!!

Apa saya harus cek satu2 kalau takeaway sekarang? Mengingat mcd jg banyak antriannya tadi.

Memang petugasnya mbaknya bilang ayam tidak bisa pilih. Tapi seumur2 saya beli mcd tidak pernah saya dicurangi seperti ini
Mana ada Larga dapat paha pentung spt ini.

Saya bawa ke situbondo. 2 jam dari jember. Dan saya dsini tidak ada Mcd
Bagaimana saya mau menukarkan ayam ini...",['https://lh3.googleusercontent.com/geougc-cs/AHRlGdnoxXlQ6tr_qM03Szse0dUdEhGDv74S0aLh9Vrd4DoeXR6LOyJFgy96bxuL5NIjpY2JkCnxrxmK-XisC6FPDa1U_qFdC9du1GWoAdl5s9h0iahl62GISVeF7XivePBnB70bSwaK'],TRUE,McDonald's
